AnimalType,Name,SpecificBreed,PrimaryBreed,PrimaryColour,De-sexed,Gender,Age,Locality
D         ,UNKNOWN DOG NAME,POODLETOY ,POODLE,Grey      ,Y,F,31,NINDERRY
D         ,Cheer,GERMNSHEP ,GERMNS,BlackTan  ,Y,F,22,BRIDGES
D         ,Emie,FOXTERRMN ,FOXTER,BlackWhite,Y,F,20,BURNSIDE
D         ,Jess,MALTESE   ,MALTES,White     ,Y,M,16,BLI BLI
D         ,Style,BICHONFRS ,BICHON,White     ,Y,F,22,MOUNTAIN CREEK
D         ,Benny,SPANIELCV ,SPANIE,BlackWhite,Y,M,11,MAROOCHYDORE
D         ,Mifty,FOXTERRMN ,FOXTER,BlackWhite,Y,F,20,KULUIN
D         ,Lucy,LABRADOR  ,LABRAD,Gold      ,Y,F,20,BUDERIM
D         ,Jesse,LABRADORX ,LABRAD,Black     ,Y,M,21,COOLUM BEACH
D         ,Pat,LABRADOR  ,LABRAD,Gold      ,Y,M,21,EUDLO
D         ,Matilda Madeline,SHIHTZUX  ,SHIHTZ,White     ,Y,F,11,PACIFIC PARADISE
D         ,Lily,JACKRUSSL ,JACKRU,WhiteTan  ,Y,F,19,MAROOCHYDORE
D         ,Reggie,KELPIEAUS ,KELPIE,Red       ,Y,M,13,WEYBA DOWNS
D         ,Chloe,STAFFRDBT ,STAFFR,BlackBrinW,Y,F,18,NAMBOUR
D         ,Penny,TERRIERTN ,TERRIE,TriColour ,Y,F,18,BUDERIM
D         ,Sooty,POODLEMIN ,POODLE,Black     ,Y,M,18,NAMBOUR
D         ,Maggie,TERRIERTN ,TERRIE,White     ,Y,M,18,BUDERIM
D         ,Hanson,SHEEPDGSH ,SHEEPD,TriColour ,Y,M,18,BUDERIM
D         ,Jellybean,TERRIERTN ,TERRIE,WhiteBlack,Y,F,17,BUDERIM
D         ,Sebastian,SPANIELCV ,SPANIE,Blenheim  ,Y,M,19,BLI BLI
D         ,Harry,JACKRUSMNX,JACKRU,WhiteBlack,Y,M,17,BUDERIM
D         ,Maxwell,SHIHTZUX  ,SHIHTZ,TanWhite  ,Y,M,17,MOOLOOLABA
D         ,Biddy,MALTESTOYX,MALTES,White     ,Y,F,18,MAROOCHYDORE
D         ,Pablo,TERRIERSIX,TERRIE,Black     ,Y,M,24,MAROOCHYDORE
D         ,Jack,ALSATIAN  ,ALSATI,BlackBrown,Y,M,17,MONS
